"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00050848","BOULDER, CO US","2021-08-17","0.00","0.0","95","56"
"USC00050848","BOULDER, CO US","2021-08-18","0.00","0.0","92","59"
"USC00050848","BOULDER, CO US","2021-08-19","0.28","0.0","82","61"
"USC00050848","BOULDER, CO US","2021-08-20","0.09","0.0","79","49"
"USC00050848","BOULDER, CO US","2021-08-21","0.06","0.0","82","50"
"USC00050848","BOULDER, CO US","2021-08-22","0.00","0.0","90","52"
"USC00050848","BOULDER, CO US","2021-08-23","0.00","0.0","90","56"
"USC00050848","BOULDER, CO US","2021-08-24","0.00","0.0","93","56"
"USC00050848","BOULDER, CO US","2021-08-25","0.00","0.0","88","57"
"USC00050848","BOULDER, CO US","2021-08-26","0.05","0.0","83","55"
"USC00050848","BOULDER, CO US","2021-08-27","0.00","0.0","91","56"
"USC00050848","BOULDER, CO US","2021-08-28","0.00","0.0","89","57"
"USC00050848","BOULDER, CO US","2021-08-29","0.00","0.0","83","57"
"USC00050848","BOULDER, CO US","2021-08-30","0.00","0.0","91","51"
"USC00050848","BOULDER, CO US","2021-08-31","0.00","0.0","94","55"
"USC00050848","BOULDER, CO US","2021-09-01","0.00","0.0","87","57"
"USC00050848","BOULDER, CO US","2021-09-02","0.00","0.0","82","58"
"USC00050848","BOULDER, CO US","2021-09-03","0.04","0.0","81","60"
"USC00050848","BOULDER, CO US","2021-09-04","0.00","0.0","84","50"
"USC00050848","BOULDER, CO US","2021-09-05","0.00","0.0","87","50"
"USC00050848","BOULDER, CO US","2021-09-06","0.00","0.0","95","52"
"USC00050848","BOULDER, CO US","2021-09-07","0.00","0.0","86","55"
"USC00050848","BOULDER, CO US","2021-09-08","0.00","0.0","87","49"
"USC00050848","BOULDER, CO US","2021-09-09","0.00","0.0","95","49"
"USC00050848","BOULDER, CO US","2021-09-10","0.00","0.0","99","55"
"USC00050848","BOULDER, CO US","2021-09-11","0.03","0.0","95","61"
"USC00050848","BOULDER, CO US","2021-09-12","0.03","0.0","85","57"
"USC00050848","BOULDER, CO US","2021-09-13","0.00","0.0","83","55"
"USC00050848","BOULDER, CO US","2021-09-14","0.00","0.0","78","57"
"USC00050848","BOULDER, CO US","2021-09-15","0.00","0.0","90","48"
"USC00050848","BOULDER, CO US","2021-09-16","0.00","0.0","91","57"
"USC00050848","BOULDER, CO US","2021-09-17","0.00","0.0","74","44"
"USC00050848","BOULDER, CO US","2021-09-18","0.00","0.0","91","43"
"USC00050848","BOULDER, CO US","2021-09-19","0.00","0.0","88","68"
